;Unnamed: 0;municipio;codigo;area_territorial;populacao_estimada;densidade_demografica;escolarizacao;idhm;mortalidade_infantil;pib_per_capita;uf;receitas_realizadas;despesas_empenhadas;saldo_receitas_despesas;cidade;estado;longitude;latitude;altitude;unidades;unidades_urbanas;unidades_rurais;area_plantada;producao_graos;IDHM_Renda;IDHM_Longevidade;IDHM_Educacao;tipo_rural_urbano;GVA_agropecuaria;GVA_industria;GVA_Servicos;GVA_publico;GDP;GDP_populacao;GDP_per_capita;estabelecimentos;carros;motos
38;38;Buriti;2102200;1473,967;28798;18,33;99,1;0,548;;6640,98;MA;61245,01099;54595,49012;6649,52087;Buriti;MA;-42.92510618;-3.9455715;54.82;6062;2071;3991;17280;53329;0.479;0.714;0.48;Rural Adjacente;21044.39;7.08;46852.36;82.5;163.73;28170;5812.29;145;277;3055
39;39;Buriti Bravo;2102309;1582,552;23939;14,47;97,3;0,59;;6568,07;MA;43904,66809;45530,0018;-1625,33371;Buriti Bravo;MA;-43.83562154;-5.835288132;219.2;5720;4264;1456;5115;9516;0.539;0.752;0.506;Urbano;18.03;17470.96;44290.77;66.34;152037.04;23437;6487.05;160;280;2565
40;40;Buriticupu;2102325;2544,857;72983;25,63;96,1;0,556;;6915,65;MA;137130,3939;116238,2593;20892,13455;Buriticupu;MA;-46.45149532;-4.325947726;172.75;14955;8391;6564;20260;55745;0.533;0.708;0.455;Urbano;64064.87;24968.86;170739.23;199921.61;490.15;71227;6881.5;723;1894;12769
41;41;Buritirana;2102358;818,424;15467;18,06;98;0,583;;5912,48;MA;33895,88668;32411,83647;1484,05021;Buritirana;MA;-47.01722509;-5.588915142;230.46;3786;1104;2682;305;733;0.54;0.725;0.505;Rural Adjacente;19607.5;3359.35;19657.32;46464.31;91.62;15142;6050.74;31;248;1894
42;42;Cachoeira Grande;2102374;864,808;9478;11,97;92,9;0,537;;6397,32;MA;20190,65288;23825,56198;-3634,9091;Cachoeira Grande;MA;-44.05968502;-2.931921039;8.6;1772;820;952;2383;6043;0.422;0.773;0.476;Rural Adjacente;12.07;2514.96;10796.03;29733.71;56229.68;8878;6333.6;19;96;475
43;43;Cajapió;2102408;545,244;11216;11,66;97,2;0,553;;4846,39;MA;21717,46685;19407,60075;2309,8661;Cajapió;MA;-44.67337716;-2.882882203;4.65;2594;1028;1566;519;2321;0.466;0.72;0.505;Rural Adjacente;7235.2;2919.71;10299.67;29846.89;51.47;10975;4689.38;21;123;876
44;44;Cajari;2102507;662,066;19451;27,7;96,4;0,523;;5191,09;MA;41227,11448;34447,3737;6779,74078;Cajari;MA;-45.00796533;-3.323868831;5.47;4321;1091;3230;999;3238;0.456;0.747;0.421;Rural Adjacente;20128.85;3.02;17259.6;55.04;97736.19;19030;5135.9;55;201;1204
45;45;Campestre do Maranhão;2102556;614,658;14453;21,72;97,8;0,652;;12238,28;MA;34573,84189;31750,84681;2822,99508;Campestre do Maranhão;MA;-47.36763286;-6.164716646;165.59;3534;2817;717;6982;39806;0.611;0.774;0.586;Urbano;50761;11.31;36660.58;42.4;148631.79;14127;10521.12;87;600;1861
46;46;Cândido Mendes;2102606;1634,861;20278;11,33;96,5;0,561;;6130,06;MA;39318,94692;34714,5264;4604,42052;Cândido Mendes;MA;-45.73726837;-1.453889109;14.24;4193;2715;1478;2265;6227;0.52;0.745;0.456;Rural Adjacente;17243.54;5.13;33040.15;64856.4;124741.7;19827;6291.51;47;84;942
47;47;Cantanhede;2102705;773,01;22117;26,45;91,6;0,565;;5534,63;MA;46425,72869;45440,75425;984,97444;Cantanhede;MA;-44.38181614;-3.628364312;23.08;4713;3067;1646;6583;8065;0.497;0.774;0.468;Intermediário Adjacente;10868.78;8088.48;34650.9;63321.87;121835.71;21617;5636.11;64;405;1455
